Genre,Year_of_Release,Platform,n,sales
Action,1980,2600,1,0.34
Action,1981,2600,25,14.84
Action,1982,2600,18,6.5200000000000005
Action,1983,2600,7,2.86
Action,1984,NES,1,1.85
Action,1985,DS,1,0.02
Action,1985,NES,1,3.5
Action,1986,NES,6,13.74
Action,1987,2600,2,1.12
Action,1988,2600,1,0.24
Action,1988,NES,1,1.51
Action,1989,2600,1,0.47
Action,1989,NES,1,4.17
Action,1990,GEN,1,2.6
Action,1990,NES,1,2.23
Action,1990,SNES,1,1.56
Action,1991,GB,1,0.06
Action,1991,NES,1,1.39
Action,1991,SNES,3,5.3100000000000005
Action,1992,GB,1,3.83
Action,1993,GEN,2,0.14
Action,1993,NES,1,0.36
Action,1993,SNES,3,1.31
Action,1994,SNES,4,1.5499999999999998
Action,1995,PS,6,2.81
Action,1995,SAT,1,0.41
Action,1995,SNES,1,0.35
Action,1996,N64,2,2.91
Action,1996,PC,1,1.03
Action,1996,PS,17,16.64
Action,1997,N64,5,2.54
Action,1997,PC,1,2.29
Action,1997,PS,23,22.51
Action,1997,SAT,2,0.24000000000000002
Action,1998,DC,1,0.08
Action,1998,N64,7,9.03
Action,1998,PC,2,1.03
Action,1998,PS,34,29.3
Action,1999,GB,1,0.31
Action,1999,N64,12,5.0600000000000005
Action,1999,PC,2,0.060000000000000005
Action,1999,PS,25,22.34
Action,2e3,DC,1,1.14
Action,2e3,GB,1,0.07
Action,2e3,N64,10,9.74
Action,2e3,PS,26,19.7
Action,2e3,PS2,6,3.39
Action,2001,DC,1,0.04
Action,2001,GB,2,3.65
Action,2001,GBA,17,5.72
Action,2001,GC,1,3.6
Action,2001,N64,1,0.16
Action,2001,PC,1,0.06
Action,2001,PS,18,9.82
Action,2001,PS2,22,35.06
Action,2001,XB,4,1.28
Action,2002,GBA,38,14.86
Action,2002,GC,16,11.03
Action,2002,PC,4,0.09
Action,2002,PS,5,2.62
Action,2002,PS2,34,46.66
Action,2002,XB,28,11.5
Action,2003,GBA,34,10.62
Action,2003,GC,29,5.83
Action,2003,PC,2,0.05
Action,2003,PS2,46,40.32
Action,2003,XB,33,11.11
Action,2004,DS,1,0.49
Action,2004,GBA,33,13.12
Action,2004,GC,17,5.38
Action,2004,PC,1,0.04
Action,2004,PS2,44,49.4
Action,2004,PSP,1,0.51
Action,2004,XB,28,7.3100000000000005
Action,2005,DS,18,3.14
Action,2005,GBA,28,7.43
Action,2005,GC,22,6.96
Action,2005,PC,4,1.04
Action,2005,PS2,61,42.74
Action,2005,PSP,9,9.91
Action,2005,X360,5,1.25
Action,2005,XB,45,13.06
Action,2006,DS,40,9.39
Action,2006,GBA,10,0.55
Action,2006,GC,11,4.2700000000000005
Action,2006,PC,6,0.16
Action,2006,PS2,47,20.27
Action,2006,PS3,3,0.92
Action,2006,PSP,26,10.68
Action,2006,Wii,9,8.17
Action,2006,X360,19,8.700000000000001
Action,2006,XB,13,3.02
Action,2007,DS,54,26.62
Action,2007,GBA,2,1.96
Action,2007,GC,2,0.18000000000000002
Action,2007,PC,5,0.13999999999999999
Action,2007,PS2,31,17.01
Action,2007,PS3,21,16.88
Action,2007,PSP,28,9.42
Action,2007,Wii,38,21.669999999999998
Action,2007,X360,28,10.91
Action,2007,XB,1,0.18
Action,2008,DS,58,16.71
Action,2008,PC,15,2.34
Action,2008,PS2,30,11.51
Action,2008,PS3,30,37.69
Action,2008,PSP,14,7.8
Action,2008,Wii,39,15.55
Action,2008,X360,35,43.41
Action,2009,DS,63,32.25
Action,2009,PC,18,0.88
Action,2009,PS2,18,4.66
